HU,Épica,Título,Dado,Cuando,Entonces (Resultado Esperado)
HU001,Datos,Carga exitosa de datos semanales,"Sistema operativo, archivo datos_semanales_pivot.csv con 222 filas × 20 columnas","Sistema ejecuta cargar_datos_forecasting() en forecasting_routes.py","✅ PREDICCIONES cargado en memoria con shape (20, 52); Productos: CP_01-MZ_01 (20 total); Tiempo carga <2 seg; Variables globales definidas"
HU002,Datos,Validación de integridad de fechas,"DataFrames cargados con índices de predicciones","Se verifica formato de semanas en predicciones_52semanas_pivot.csv","✅ Formato: 2026-W03...2027-W01 (ISO 8601); Sin valores NULL; 52 semanas consecutivas; Todas predicciones >= 0"
HU003,Datos,Consolidación en tabla única,"Predicciones generadas en pivot (productos × semanas)","Sistema genera predicciones_52semanas_largo.csv (tidy format)","✅ 1,040 registros (52×20); Columnas: Producto_codigo, Semana, Prediccion, Lower_Bound_95, Upper_Bound_95; Sin duplicados; Lower < Prediccion < Upper (100%)"
HU004,Datos,Visualización de resumen de datos,"Dashboard Streamlit iniciado en puerto 8501","Usuario accede a sección 🏠 Dashboard","✅ Muestra: 222 semanas históricas; 20 productos (CP_01-MZ_01); Modelo HYBRID_XGBoost_ARIMA (60%+40%); R²>0.99; MAPE<5%"
HU005,ML,Entrenamiento XGBoost con modelos pre-cargados,"Archivo modelo_hybrid_xgboost_final.joblib existe en 03_Modelos/","forecasting_routes.py ejecuta cargar_datos_forecasting() línea 33","✅ 20 modelos XGBoost cargados (uno por producto); Confirmación en log; EN MEMORIA listos para predicción; Tamaño ~5-10MB RAM"
HU006,ML,Parámetros ARIMA cargados,"Archivo modelo_hybrid_arima_params_final.json existe","Sistema carga parámetros en línea 39","✅ 20 conjuntos parámetros cargados; Estructura: {order:[1,1,1], seasonal_order:[1,1,1,52]} por producto; Confirmación en log"
HU007,ML,Verificación de modelo híbrido,"Ambos modelos (XGBoost y ARIMA) cargados en memoria","Sistema ejecuta predict_hybrid_with_loaded_models()","✅ Fórmula: pred_hybrid = 0.6×pred_xgb + 0.4×pred_arima; 52 predicciones/producto; Todos valores>=0; Metadata: HYBRID_XGB_ARIMA confirmada"
HU008,ML,Validación sin data leakage,"222 semanas datos históricos en datos_semanales_pivot.csv","Sistema genera predicciones para próximas 52 semanas","✅ Punto de corte claro: Semana 222 vs Semana predicha 1; Sin overlap temporal; Modelos solo con 222 semanas; Predicciones futuro: 2026-W03 a 2027-W01"
HU009,ML,Reporte de métricas por producto,"Archivo modelo_hybrid_metadata_v1.0.json cargado","Usuario consulta estadísticas en /model-info endpoint","✅ Tabla 20 productos: CP_01 (media=181.12, std=81.19), CP_09 (media=665.37, std=282.89), MZ_01 (media=1163.36, std=484.79); Todos: datos_disponibles=222; Tiempos: 25-56 seg"
HU010,ML,Comparación vs línea base,"Modelo HYBRID entrenado con 222 semanas","Sistema reporta métricas en resumen_predicciones_hibrido.json","✅ Estadísticas: Media (varía 30-1200); Std (proporcional); Min>=0; Max realista vs histórico; Estado: LISTO PARA PRODUCCIÓN"
HU011,Recomendación,Cálculo stock de seguridad,"Predicciones disponibles con media y std por producto","Dashboard ejecuta análisis recomendación (líneas 750-1181 dashboard_v4.py)","✅ Fórmula: Stock_Seguridad = media + 1.65×std; Ej CP_01: 181.12 + 1.65×81.19 ≈ 315 unidades; Nivel servicio 95% (z=1.65); Valor visible en recomendación"
HU012,Recomendación,Recomendación semanal por producto,"Stock actual, demanda predicha, stock seguridad conocidos","Usuario selecciona producto en tab 💡 Recomendación Individual","✅ Calcula: Prod_Recom = max(0, Demanda - Stock_Actual + S.S.); Visualiza número grande + justificación texto; Ejemplo: 'SIN PRODUCCIÓN' o 'PRODUCIR 150'; Respuesta <1 seg"
